"sifra";"podsifra";"skola";"ime_ravnatelja";"prezime_ravnatelja"
"13-107-509";"0-0";Medicinska škola Ante Kuzmanića - Zadar;Anita;Basioli
"07-263-001";"0-0";Osnovna škola Ivana viteza Trnskog;Dario;Jaušić
"08-071-514";"0-0";Elektroindustrijska i obrtnička škola Rijeka;Darko;Bašić
"14-397-001";"0-0";Osnovna škola Drenje;Darko;Čota
"21-114-557";"0-0";Trgovačka škola;Darko;Grgurić
"21-114-550";"0-0";Tehnička škola Zagreb;Darko;Jurković
"16-088-007";"0-0";Osnovna škola Antun Gustav Matoš;Dario;Dragun
"14-396-001";"0-0";Osnovna škola Josip Kozarac;Darko;Ocvirk
"17-126-003";"0-0";Osnovna škola "Bol";Davor;Bučević
"17-126-504";"0-0";Obrtnička škola;Davor;Kulić
"03-076-506";"0-0";Tehnička škola Sisak;Davor;Malović
"05-086-512";"0-0";Glazbena škola u Varaždinu;Davor;Matačić
"21-114-095";"0-0";Osnovna škola Otok;Davorka;Zadravec - Komšić
"17-126-507";"0-0";III. gimnazija;Deana;Bokšić
"21-114-503";"0-0";III. gimnazija;Darka;Sudarević
"21-114-083";"0-0";Osnovna škola Brezovica;Darko;Rogalo
"13-107-512";"0-0";Tehnička škola;Denis;Prusac
"02-188-001";"0-0";Osnovna škola Veliko Trgovišće;Diana;Duk-Petek
"21-114-139";"0-0";Osnovna škola Bartola Kašića;Dijana;Kopčić
"16-088-510";"0-0";Glazbena škola Josipa Runjanina;Dinka;Peti
"07-012-503";"0-0";Ekonomska i turistička škola Daruvar;Dinka;Kavalir
"20-530-001";"0-0";Osnovna škola Selnica;Anica;Rašperger
"06-023-502";"0-0";Strukovna škola Đurđevac;Darko;Špoljar
"21-114-082";"0-0";Osnovna škola braće Radić;Darko;Štimac
"08-013-002";"0-0";Osnovna škola Frana Krste Frankopana;Davor;Tkalac
"01-087-002";"0-0";Osnovna škola Jurja Habdelića;Davor;Vidović
"18-495-001";"0-0";Osnovna škola - Scuola elementare RIVARELA;Davorka;Parmač
"08-008-002";"0-0";Osnovna škola Vladimira Nazora Crikvenica;Deana;Čandrlić-Zorica
"18-069-505";"0-0";Talijanska srednja škola Dante Alighieri, Pula - Scuola media superiore italiana Dante Alighieri, Pola;Debora;Radolović
"21-114-077";"0-0";Osnovna škola Rapska;Diana;Dujmović
"15-413-002";"0-0";Osnovna škola Rogoznica;Diana;Goleš
"21-114-566";"0-0";Srednja škola - Centar za odgoj i obrazovanje;Đana;Baftiri
"13-107-519";"0-0";Hotelijersko-turistička i ugostiteljska škola;Diana;Radić Škara
"17-126-505";"0-0";I. gimnazija Split;Dobrila;Gotovac Stipaničev
"19-018-502";"0-0";Obrtnička i tehnička škola Dubrovnik;Dinko;Mandić
"17-075-005";"0-0";Glazbena škola Jakova Gotovca;Dobrila;Veršić
"17-126-518";"0-0";Pomorska škola;Dragan;Pavelin
"02-181-001";"0-0";Osnovna škola Marija Bistrica;Dominik;Karajić
"12-078-502";"0-0";OBRTNIČKO-TEHNIČKA ŠKOLA;Anita;Holub
"21-114-112";"0-0";Osnovna škola Ružičnjak;Anita;Vuković
"08-070-501";"0-0";Srednja škola Markantuna de Dominisa Rab;Anka;Bišić
"21-114-502";"0-0";II. gimnazija;Drago;Bagić
"05-086-508";"0-0";Srednja strukovna škola;Dražen;Košćak
"03-195-001";"0-0";Osnovna škola Popovača;Dražen;Mlakar
"09-455-002";"0-0";Osnovna škola dr. Franje Tuđmana;Dražena;Aračić
"02-097-501";"0-0";Srednja škola Zabok;Draženka;Jurec
"18-069-503";"0-0";Industrijsko-obrtnička škola Pula;Dragan;Radovanović
"20-010-006";"0-0";Centar za odgoj i obrazovanje Čakovec;Dragica;Benčik
"05-243-001";"0-0";Osnovna škola Bisag;Draženka;Švelec-Juričić
"21-114-159";"0-0";Osnovna škola Hrvatski Leskovac;Dubravka;Ljubičić
"21-114-547";"0-0";Strojarska tehnička škola Fausta Vrančića;Dubravko;Diklić
"06-249-001";"0-0";Osnovna škola Legrad;Dragutin;Marcinjaš
"20-010-503";"0-0";Tehnička škola Čakovec;Dražen;Blažeka
"03-054-502";"0-0";Glazbena škola u Novskoj;Dunja;Uroić
"14-326-501";"0-0";Srednja škola Josipa Kozarca Đurđenovac;Dražen;Turza
"14-060-013";"0-0";Osnovna škola Tenja;Draženka;Šebek
"03-076-007";"0-0";Osnovna škola Sela;Draženka;Kušević
"05-046-001";"0-0";Osnovna škola Ludbreg;Đurđa;Kladić
"17-125-002";"0-0";Osnovna škola Vjekoslava Paraća;Đuro;Baloević
"18-044-001";"0-0";Osnovna škola Matije Vlačića;Edi;Juričić
"20-524-001";"0-0";Osnovna škola Mursko Središće;Elvis;Šarić
"18-491-003";"0-0";Osnovna škola Divšići;Emilijana;Fabijančić
"08-071-512";"0-0";Strojarsko brodograđevna škola za industrijska i obrtnička zanimanja;Evica;Kozera
"12-332-001";"0-0";Osnovna škola Augusta Šenoe;Đurđica;Vuksanović
"16-437-001";"0-0";Osnovna škola Stjepana Cvrkovića;Đuro;Škrget
"21-114-128";"0-0";Osnovna glazbena škola Ivana Zajca;Eda;Rimanić
"14-060-001";"0-0";Centar za odgoj i obrazovanje Ivan Štark;Edit;Lemal
"17-083-002";"0-0";Osnovna škola Petar Berislavić;Edita;Bratinčević
